Winery Name,State,
14 Hands,WA,
Abacela Vineyards & Winery,OR,
Abarbanel Wine Co.,NY,
Abbott Winery,CA,
Abeja,WA,
Abingdon Winery,VA,
Abundance Vineyards,CA,
Acacia Winery,CA,
Academy Wines,OR,
Accardi Vineyards,CA,
Ackerly Pond Vineyards,NY,
Ackerman Winery,IA,
Acme Wineworks,OR,
Acorn Winery,CA,
Adair Vineyards,NY,
Adam Puchta Winery,MO,
Adams County Winery,PA,
Adastra Wines,CA,
Adea Wine Company,OR,
Adelaida Cellars,CA,
Adelsheim Vineyard,OR,
Adler Fels,CA,
A Donkey and Goat,CA,
Adrian Fog Winery,CA,
Adytum Cellars,WA,
Aeppeltreow Winery,WI,
Aetna Springs Cellars,CA,
Afton Mountain Vineyards,VA,
Agajanian Vineyards,CA,
Agua Dulce Vineyards,CA,
Ahlgren Vineyard,CA,
Aiken Winery,SC,
Airlie Winery,OR,
Ajb Vineyards,CA,
Alamosa Wine Cellars,TX,
Alaskan Wilderness Wines,AK,
Alba Vineyards,NJ,
Albertina Wine Cellars,CA,
Alderbrook Winery,CA,
Alexander Valley Vineyards,CA,
Alexandria Nicole Cellars,OR,
Alexis Bailly Vineyards,MN,
Alison Wines & Vineyards,NY,
Allegro Wines,PA,
Allora Vineyards,CA,
Almaden Vineyards,CA,
Almarla Vineyards & Winery,MS,
Altamura,CA,
Altasian Cellars,NJ,
Alto Vineyards,IL,
Amador Foothill Winery,CA,
Amalthea Cellars,NJ,
Amato's Winery,LA,
Amavi Cellars,WA,
Amberg Wine Cellars,NY,
Ambrosia By Kristy,WA,
Americana Vineyards Winery,NY,
Amici Cellars,CA,
Amicitia Wine,CA,
Amicus Cellars,CA,
Amity Vineyard,OR,
Amizetta Vineyards,CA,
Amoré Winery,PA,
Amphora Wines,CA,
AmRhein Wine Cellars,VA,
Amuse Bouche Wine,CA,
Amwell Valley Vineyards,NJ,
Anam Cara Cellars,OR,
Anasazi Fields Winery,NM,
Anawim Wine Cellars,NY,
Ancien Wines,CA,
Andersen Vineyards,CA,
Anderson's Conn Valley Vineyards,CA,
Anderson's Orchard & Winery,IN,
Anderson Valley Vineyards,NM,
Andrake Cellars,WA,
Andretti Winery,CA,
Andrew Geoffrey Vineyards,CA,
Andrew Murray Vineyards,CA,
Andrew Rich Winery,OR,
Andrew Will Winery,WA,
Anglim Winery,CA,
Animale,WA,
Ankeny Vineyard Winery,OR,
Ann Arbor Vineyards,MI,
Anne Amie Vineyards,OR,
Anomaly Vineyards,CA,
A. Nonini Winery,CA,
Antelope Valley Winery,CA,
Anthony Road Wine Company,NY,
Antica Terra,OR,
Apex Cellars,OR,
Apple Barn & Cider Mill,TN,
Apple Tree Farm Wines,VT,
Applewood Orchards Winery,NY,
A. Rafanelli Winery,CA,
Araujo Estate Wines,CA,
Arbios Cellars,CA,
Arbor Crest Winery,WA,
Arbor Hill,NY,
Arbor Trails Winery,NE,
Arcadian Estate Vineyards,NY,
Arcadian Winery,CA,
Archery Summit,OR,
Arciero Estate Winery,CA,
Ardente Winery,CA,
Arena Blanca Winery,NM,
Arena Valley Winery,ID,
Argyle Winery,OR,
Arietta Wine,CA,
Arista Winery,CA,
Armagan Champagne,CA,
Armida Winery,CA,
Armstrong Ranch Wines,CA,
Arnold Palmer Wines,CA,
Arns Winery,CA,
Arrowhead Wine Cellars,PA,
Arrowood Vineyards & Winery,CA,
Arroyo Robles Winery,CA,
Artesa Vineyards & Winery,CA,
Artisan Wines,CA,
A Secret Garden Winery,NC,
Ashland Vineyards,OR,
Ashley Lynn Winery,NY,
Ashley Lynn Winery,NY,
Aspen Wine Company,MS,
Astrale e Terra Winery,CA,
Atalon Winery,CA,
A-T Gift Company Farm Winery,WV,
Atlas Peak Vineyards,CA,
Atwater Estate Vineyards,NY,
Audesirk Vineyards,TX,
Audubon Cellars,CA,
Augusta Winery,MO,
August Briggs Wines,CA,
Augustina's Winery,CO,
Austin Robaire Vintners,WA,
Autumn Hill Vineyard / Blue Ridge Winery,VA,
Autumn Wind Winery,OR,
Avanti Winery,CO,
Avila Winery,CA,
Axios Wines,CA,
Azalea Springs,CA,
Babcock Winery & Vineyards,CA,
Bacchus School Of Wine,NJ,
Bacio Divino,CA,
Badger Mountain Vineyard,WA,
Baer Winery,WA,
Baharav Vineyards,CO,
Baileyana Winery,CA,
Baily Vineyard & Winery,CA,
Bainbridge Island Winery,WA,
Balagna Winery,NM,
Balcom & Moe Vineyard,WA,
Baldacci Family Vineyards,CA,
Baldwin Vineyards,NY,
Balic Winery,NJ,
Balistreri Vineyards,CO,
Ballentine Vineyards,CA,
Balletto Vineyards,CA,
Baltimore Bend Vineyard,MO,
Bandiera Winery,CA,
Banfi Vintners,NY,
Bannerman Vineyard,NC,
Bannister Wines,CA,
Barboursville Vineyards,VA,
Barbour Vineyards,CA,
Barca Wineries & Vineyards,CA,
Barclay & Browning Wines,CA,
Barefoot Cellars,CA,
Bargetto Winery,CA,
Barker's Blackberry Hill Winery,KY,
Barking Rocks Winery,TX,
Barlow Vineyards,CA,
Barnard Griffin,WA,
Barnett Vineyards,CA,
Barnwood Vineyards,CA,
Baron Manfred Vierthaler,WA,
Barra Of Mendocino,CA,
Barrington Cellars,NY,
Barrister Winery,WA,
Bartholomew Park Winery,CA,
Bartlett Maine Estate Winery,ME,
Barton Creek Cellars,CO,
Basel Cellars Estate Winery,WA,
Bashore & Stoudt Country Winery,PA,
Basignani Winery,MD,
Bastress Mountain Winery,PA,
Batavia Wine Cellars,NY,
Battaglini Estate Winery,CA,
Baxter's Vineyard,IL,
Bayfield Winery,WI,
Baystone Wines,CA,
Bayview Cellars,CA,
Beachaven Vineyards & Winery,TN,
Beak & Skiff Apple Winery,NY,
Bear Creek Vineyard Company,CA,
Bear Creek Vineyards,OR,
Bear Pond Wines,NY,
Beaucanon Estate,CA,
Beaux Freres,OR,
Becker Vineyards,TX,
Beckmen Vineyards,CA,
Bedell Cellars,NY,
Bedford Thompson Winery & Vineyard,CA,
Beekman And Beekman,CA,
Bees Brothers Winery,NM,
Behling's Spookhill Farms,NY,
Belhurst Winery,NY,
Bel Lago Winery,MI,
Bella Luna Winery,CA,
Bella Vineyards,CA,
Bellefountain Cellars,OR,
Belle Marie Winery,CA,
Belle Pente Wine Cellars,OR,
Belle Vallée Cellars,OR,
Bell Mountain Vineyards,TX,
Bellview Winery,NJ,
Bellwether Hard Cider,NY,
Bell Wine Cellars,CA,
Belo Wine Company,CA,
Belvedere Vineyards & Winery,CA,
Benessere Vineyards,CA,
Beniga's Creek Vineyard & Winery,PA,
Benjamin Silver Wine,CA,
Benjamin Vineyards & Winery,NC,
Benmarl Vineyards & Winery,NY,
Bennett Vineyards,NC,
Benson Ferry Vineyards,CA,
Benson Vineyards,WA,
Bent Creek Winery,CA,
Benton Lane Winery,OR,
Benziger Family Winery,CA,
Beran Vineyards,OR,
Bergevin Lane Vineyards,WA,
Berghof Keller Winery,WA,
